model,condition,size,status,coord_is_baseline,coordinator_record,coordinator_valid,coordinator_quads,coordinator_deficit,coordinator_rms,static_record,static_quads,static_deficit,static_rms,within_5_percent,logical_attempts,native_calls
B65,none,uniform,equivalent,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B65/baseline_diagnosis.json,True,490,77.59578992172214,0.059512858333383635,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__none__uniform_0/result.json,490,77.59578992172214,0.059512858333383635,True,1,0
B65,none,allocated,tradeoff,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B65/baseline_diagnosis.json,True,490,77.59578992172214,0.059512858333383635,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__none__allocated_0/result.json,491,106.44568438412963,0.055816875312924286,True,1,1
B65,all,uniform,static_dominates,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B65/baseline_diagnosis.json,True,490,77.59578992172214,0.059512858333383635,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__all__uniform_0/result.json,500,1.5727024570630561,0.012999371884619592,True,1,1
B65,all,allocated,static_dominates,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B65/baseline_diagnosis.json,True,490,77.59578992172214,0.059512858333383635,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__all__allocated_0/result.json,478,1.431019674737982,0.009551431239877974,True,1,1
B65,simple_defect,uniform,static_dominates,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B65/baseline_diagnosis.json,True,490,77.59578992172214,0.059512858333383635,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__simple_defect__uniform_0/result.json,500,5.288758466180638,0.01396439725275072,True,1,1
B65,simple_defect,allocated,static_dominates,True,research://source-repository/research_runs/2026-09-20_cad_decision_v2/heldout/frozen_proposals/B65/baseline_diagnosis.json,True,490,77.59578992172214,0.059512858333383635,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B65__simple_defect__allocated_0/result.json,502,7.0952022216399016,0.010158318259729708,True,1,1
B31,none,uniform,coordinator_invalid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B31/full/initial_allocated_0/result.json,False,493,41.74293627187693,0.037784008900822404,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__none__uniform_1/result.json,464,124.45333881468169,0.06363735372196912,False,2,2
B31,none,allocated,coordinator_invalid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B31/full/initial_allocated_0/result.json,False,493,41.74293627187693,0.037784008900822404,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__none__allocated_0/result.json,476,121.17226090303674,0.07703061584668176,True,1,1
B31,all,uniform,coordinator_invalid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B31/full/initial_allocated_0/result.json,False,493,41.74293627187693,0.037784008900822404,,,,,False,1,1
B31,all,allocated,coordinator_invalid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B31/full/initial_allocated_0/result.json,False,493,41.74293627187693,0.037784008900822404,,,,,False,1,1
B31,simple_defect,uniform,coordinator_invalid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B31/full/initial_allocated_0/result.json,False,493,41.74293627187693,0.037784008900822404,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B31__simple_defect__uniform_0/result.json,544,48.67825193589856,0.04333962425938065,False,2,2
B31,simple_defect,allocated,coordinator_invalid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B31/full/initial_allocated_0/result.json,False,493,41.74293627187693,0.037784008900822404,,,,,False,1,0
B73,none,uniform,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B73/full/initial_allocated_0/result.json,True,504,7.625493746379317,0.028451143322060713,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__none__uniform_0/result.json,504,59.131354851885575,0.06021276579417163,True,1,1
B73,none,allocated,coordinator_dominates,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B73/full/initial_allocated_0/result.json,True,504,7.625493746379317,0.028451143322060713,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__none__allocated_0/result.json,506,33.02468370363943,0.03462431090580459,True,1,1
B73,all,uniform,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B73/full/initial_allocated_0/result.json,True,504,7.625493746379317,0.028451143322060713,,,,,False,2,2
B73,all,allocated,equivalent,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B73/full/initial_allocated_0/result.json,True,504,7.625493746379317,0.028451143322060713,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__all__allocated_0/result.json,504,7.625493746379317,0.028451143322060713,True,1,0
B73,simple_defect,uniform,static_no_valid,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B73/full/initial_allocated_0/result.json,True,504,7.625493746379317,0.028451143322060713,,,,,False,2,0
B73,simple_defect,allocated,equivalent,False,research://source-repository/research_runs/2026-09-20_paper_stage_v1/coordinator_v4_development/runs/B73/full/initial_allocated_0/result.json,True,504,7.625493746379317,0.028451143322060713,research://source-repository/research_runs/2026-09-20_paper_stage_v1/strong_static_controls_v1/runs/B73__simple_defect__allocated_0/result.json,504,7.625493746379317,0.028451143322060713,True,1,0
